ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2022-01-03T11:27:14.738345526Z,2022-01-03T11:27:14.738335076Z,10,2,10600,A,N,1,1135.380000000,5,130,10450,5013116,1135.000000000,1135.350000000,538,2,2,1,1134.440000000,1135.380000000,100,7,1,2,1134.380000000,1135.500000000,7,30,1,1,1134.300000000,1135.580000000,21,50,2,1,1134.230000000,1135.770000000,2,150,1,1,1134.190000000,1135.800000000,6,199,1,2,1134.000000000,1135.830000000,1021,100,3,1,1133.670000000,1135.890000000,9,9,1,1,1133.050000000,1135.940000000,1,100,1,1,1133.000000000,1136.000000000,51,35,5,6,TSLA
2022-01-03T11:27:14.808162793Z,2022-01-03T11:27:14.808150153Z,10,2,7627,T,A,0,299.720000000,3,130,12640,5013127,299.720000000,299.800000000,3,5,1,1,299.640000000,299.900000000,5,100,3,1,299.500000000,299.920000000,43,93,2,2,299.460000000,299.930000000,1,20,1,1,299.420000000,299.940000000,268,1,3,1,299.320000000,299.950000000,101,36,2,1,299.300000000,299.980000000,1,18,1,1,299.150000000,299.990000000,3,201,2,2,299.140000000,300.000000000,20,665,1,33,299.120000000,300.030000000,100,200,1,1,NVDA
2022-01-03T11:27:14.808162793Z,2022-01-03T11:27:14.808150153Z,10,2,7627,C,N,0,299.720000000,3,130,12640,5013127,299.640000000,299.800000000,5,5,3,1,299.500000000,299.900000000,43,100,2,1,299.460000000,299.920000000,1,93,1,2,299.420000000,299.930000000,268,20,3,1,299.320000000,299.940000000,101,1,2,1,299.300000000,299.950000000,1,36,1,1,299.150000000,299.980000000,3,18,2,1,299.140000000,299.990000000,20,201,1,2,299.120000000,300.000000000,100,665,1,33,299.000000000,300.030000000,240,200,12,1,NVDA
2022-01-03T11:27:14.930948317Z,2022-01-03T11:27:14.930937824Z,10,2,27,C,N,6,178.280000000,31,130,10493,5013162,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,27,1,1,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,54,20,3,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
2022-01-03T11:27:14.931013457Z,2022-01-03T11:27:14.931002788Z,10,2,27,A,N,5,178.310000000,28,130,10669,5013163,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,27,1,1,178.320000000,178.550000000,900,1,2,1,178.310000000,178.560000000,28,400,1,1,178.300000000,178.590000000,768,20,8,1,178.280000000,178.610000000,54,1,3,1,178.270000000,178.690000000,46,260,3,1,178.260000000,178.800000000,1,20,1,2,AAPL
2022-01-03T11:27:14.951818481Z,2022-01-03T11:27:14.951808238Z,10,2,27,C,N,5,178.310000000,28,130,10243,5013166,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,27,1,1,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,54,20,3,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
2022-01-03T11:27:15.516263321Z,2022-01-03T11:27:15.516252466Z,10,2,27,A,N,6,178.280000000,31,130,10855,5013358,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.330000000,178.540000000,300,27,1,1,178.320000000,178.550000000,900,1,2,1,178.300000000,178.560000000,768,400,8,1,178.280000000,178.590000000,85,20,4,1,178.270000000,178.610000000,46,1,3,1,178.260000000,178.690000000,1,260,1,1,178.250000000,178.800000000,38,20,4,2,AAPL
2022-01-03T11:27:15.687573716Z,2022-01-03T11:27:15.687562765Z,10,2,27,C,N,3,178.330000000,300,130,10951,5013442,178.410000000,178.450000000,12,50,2,1,178.400000000,178.490000000,7,83,3,2,178.390000000,178.500000000,1,115,1,3,178.320000000,178.540000000,900,27,2,1,178.300000000,178.550000000,768,1,8,1,178.280000000,178.560000000,85,400,4,1,178.270000000,178.590000000,46,20,3,1,178.260000000,178.610000000,1,1,1,1,178.250000000,178.690000000,38,260,4,1,178.240000000,178.800000000,6,20,2,2,AAPL
2022-01-03T11:27:15.887184530Z,2022-01-03T11:27:15.887173954Z,10,2,7119,C,N,1,337.630000000,6,130,10576,5013506,337.700000000,337.930000000,14,187,7,1,337.630000000,338.000000000,10,1,1,1,337.610000000,338.060000000,5,15,1,1,337.600000000,338.250000000,4,1,2,1,337.550000000,338.400000000,30,100,1,1,337.520000000,338.500000000,10,9,1,3,337.500000000,338.580000000,13,1,4,1,337.460000000,338.800000000,17,4,1,2,337.370000000,338.850000000,10,1526,1,1,337.300000000,338.900000000,10,1,1,1,MSFT
2022-01-03T11:27:15.888710506Z,2022-01-03T11:27:15.888699677Z,10,2,7119,A,N,2,337.620000000,6,130,10829,5013507,337.700000000,337.930000000,14,187,7,1,337.630000000,338.000000000,10,1,1,1,337.620000000,338.060000000,6,15,1,1,337.610000000,338.250000000,5,1,1,1,337.600000000,338.400000000,4,100,2,1,337.550000000,338.500000000,30,9,1,3,337.520000000,338.580000000,10,1,1,1,337.500000000,338.800000000,13,4,4,2,337.460000000,338.850000000,17,1526,1,1,337.370000000,338.900000000,10,1,1,1,MSFT
